Sequence Number,Count,Berry
0,9302,0
1,9298,1
2,9295,2
3,9263,3
4,9333,4
5,9302,5
6,9320,6
7,9326,7
8,9304,8
9,9280,9
10,9359,10
11,9365,11
12,9277,12
13,9307,13
14,9394,14
15,9374,15
16,9253,16
17,9278,17
18,9348,18
19,9339,19
20,9346,20
21,9338,21
22,9339,22
23,9383,23
24,9337,24
25,9326,25
26,9321,26
27,9321,27
28,9379,28
29,9342,29
30,9341,30
31,9364,31
32,9377,32
33,9346,33
34,9350,34
35,9353,35
36,9376,36
37,9384,37
38,9362,38
39,9341,39
40,9380,40
41,9374,41
42,9384,42
43,9374,43
44,9377,44
45,9373,45
46,9377,46
47,9353,47
48,9357,48
49,9382,49
50,9345,50
51,9367,51
52,9360,52
53,9374,53
54,9363,54
55,9336,55
56,9351,56
57,9338,57
58,9320,58
59,9331,59
60,9315,60
