"Sequence Number",Count,"Sequence Number",Count
0,9302,0,9394
1,9298,1,9353
2,9295,2,9349
3,9263,3,9375
4,9333,4,9351
5,9302,5,9312
6,9320,6,9317
7,9326,7,9312
8,9304,8,9319
9,9280,9,9363
10,9359,10,9309
11,9365,11,9333
12,9277,12,9325
13,9307,13,9339
14,9394,14,9326
15,9374,15,9368
16,9253,16,9359
17,9278,17,9335
18,9348,18,9348
19,9339,19,9352
20,9346,20,9334
21,9338,21,9335
22,9339,22,9328
23,9383,23,9335
24,9337,24,9335
25,9326,25,9366
26,9321,26,9356
27,9321,27,9350
28,9379,28,9345
29,9342,29,9332
30,9341,30,9358
31,9364,31,9315
32,9377,32,9328
33,9346,33,9349
34,9350,34,9387
35,9353,35,9386
36,9376,36,9280
37,9384,37,9359
38,9362,38,9333
39,9341,39,9319
40,9380,40,9346
41,9374,41,9308
42,9384,42,9331
43,9374,43,9297
44,9377,44,9291
45,9373,45,9284
46,9377,46,9279
47,9353,47,9289
48,9357,48,9265
49,9382,49,9257
50,9345,50,9252
51,9367,51,9249
52,9360,52,9246
53,9374,53,9295
54,9363,54,9287
55,9336,55,9270
56,9351,56,9263
57,9338,57,9277
58,9320,58,9271
59,9331,59,9251
60,9315,60,9214
